episodes,scores,avg_scores,avg_rewards
0,-291,-291.0,-3.1630434782608696
1,-266,-278.5,-3.970149253731343
2,-375,-310.6666666666667,-2.1306818181818183
3,-490,-355.5,-1.6838487972508591
4,-225,-329.4,-8.653846153846153
5,-219,-311.0,-10.95
6,-217,-297.57142857142856,-12.055555555555555
7,-294,-297.125,-3.094736842105263
8,-235,-290.22222222222223,-6.527777777777778
9,-202,-281.4,-67.33333333333333
10,-338,-286.54545454545456,-2.431654676258993
11,-212,-280.3333333333333,-16.307692307692307
12,273,-237.76923076923077,2.0839694656488548
13,-216,-236.21428571428572,-12.705882352941176
14,-202,-233.93333333333334,-67.33333333333333
15,-213,-232.625,-15.214285714285714
16,-216,-231.64705882352942,-12.705882352941176
17,-353,-238.38888888888889,-2.292207792207792
18,-302,-241.73684210526315,-2.9320388349514563
19,-342,-246.75,-2.3916083916083917
20,-300,-249.28571428571428,-2.9702970297029703
21,-305,-251.8181818181818,-2.8773584905660377
22,-429,-259.5217391304348,-1.8652173913043477
23,-592,-273.375,-1.5063613231552162
24,-350,-276.44,-2.3178807947019866
25,-204,-273.65384615384613,-40.8
26,-282,-273.962962962963,-3.397590361445783
27,-278,-274.10714285714283,-3.518987341772152
28,-325,-275.86206896551727,-2.5793650793650795
29,-342,-278.06666666666666,-2.3916083916083917
30,-326,-279.61290322580646,-2.5669291338582676
31,-201,-277.15625,-100.5
32,-205,-274.969696969697,-34.166666666666664
33,-285,-275.2647058823529,-3.313953488372093
34,-385,-278.4,-2.0698924731182795
35,-263,-277.97222222222223,-4.109375
36,-249,-277.18918918918916,-4.98
37,-200,-275.1578947368421,-200.0
38,-521,-281.46153846153845,-1.6180124223602483
39,-322,-282.475,-2.6178861788617884
40,-217,-280.8780487804878,-12.055555555555555
41,-285,-280.9761904761905,-3.313953488372093
42,-363,-282.8837209302326,-2.2134146341463414
43,-398,-285.5,-2.0
44,-360,-287.15555555555557,-2.2360248447204967
45,-275,-286.89130434782606,-3.6184210526315788
46,-201,-285.06382978723406,-100.5
47,-352,-286.4583333333333,-2.3006535947712417
48,-201,-284.7142857142857,-100.5
49,-265,-284.32,-4.015151515151516
50,-249,-283.62745098039215,-4.98
51,-381,-285.5,-2.0934065934065935
52,-275,-285.3018867924528,-3.6184210526315788
53,-215,-284.0,-13.4375
54,-253,-283.43636363636364,-4.685185185185185
55,-276,-283.30357142857144,-3.5844155844155843
56,-328,-284.0877192982456,-2.5426356589147288
57,-247,-283.44827586206895,-5.145833333333333
58,-216,-282.3050847457627,-12.705882352941176
59,-353,-283.48333333333335,-2.292207792207792
60,-251,-282.95081967213116,-4.826923076923077
61,-249,-282.4032258064516,-4.98
62,-222,-281.44444444444446,-9.652173913043478
63,-398,-283.265625,-2.0
64,-322,-283.8615384615385,-2.6178861788617884
65,-229,-283.030303030303,-7.633333333333334
66,-292,-283.1641791044776,-3.139784946236559
