episodes,scores,avg_scores
0,-3164.0815912839785,-3164.0815912839785
1,-9595.33594072283,-6379.708766003405
2,-331,-4363.472510668937
3,-686,-3444.1043830017024
4,-281,-2811.483506401362
5,-7,-2344.069588667802
6,-317,-2054.4882188581155
7,-605,-1873.3021915008512
8,-1817,-1867.046392445201
9,-704,-1750.741753200681
10,-337,-1622.2197756369826
11,-571.9843666505479,-1534.7001582214464
12,-83,-1423.0309152813352
13,-317,-1344.0287070469542
14,-168,-1265.6267932438238
15,-870.9909989275516,-1240.9620560990568
16,-338,-1187.8466410344063
17,-78,-1126.1884943102727
18,-1872,-1165.4417314518373
19,-124,-1113.3696448792455
20,-131,-1066.5901379802337
21,-175,-1026.0633135265869
22,-3298,-1124.8431694602134
23,-3,-1078.099704066038
24,-149,-1040.9357159033964
25,-2,-1000.9766499071119
26,-371,-977.6441813920336
27,-1455.1843308913324,-994.6991867312944
28,-140,-965.2268009819394
29,-4147.374972192338,-1071.2984066889526
30,-500,-1052.8694258280186
31,-2,-1020.0297562708931
32,-2023.8414294767456,-1050.4482918225856
33,-206,-1025.6115773572153
34,-822.7200758613983,-1019.8146773144778
35,-528,-1006.1531585001867
36,-428,-990.5273974596411
37,-536,-978.5661501580717
38,-446,-964.9106078463262
39,-159,-944.7628426501681
40,-159,-925.5978952684566
41,-149,-907.1074691906363
42,-259,-892.0352024652726
43,-72,-873.39803877288
44,-50,-855.1003045779271
45,-1203,-862.6633414349287
46,29,-843.6917809788664
47,-923,-845.3440355418066
48,-296,-834.1329327756474
49,-715,-831.7502741201345
50,-169,-818.7551707060142
51,-392,-810.5483405001293
52,-50,-796.1983718114476
53,-264,-786.3428464075319
54,-1749.3662656362205,-803.8523631207808
55,-561,-799.5157137793384
56,-113,-787.4715784498763
57,-448,-781.6186202007405
58,-16,-768.6420334176771
59,-92,-757.3646661940492
60,-76,-746.194753633491
61,-275,-738.5948382523056
62,-261,-731.0139678038563
63,-515,-727.6387495569211
64,-378,-722.2596918714299
65,-311,-716.0284844188326
66,-353,-710.6101488304918
67,-1135,-716.8511760535728
68,-514,-713.9113039368543
69,-7,-703.8125710234707
70,-352,-698.8574643893373
71,-191,-691.803888495041
72,-65,-683.2175338581226
73,-1824.355827297217,-698.6383216072995
74,-422,-694.9498106525356
75,-6760.7269126184865,-774.7626672573506
76,-399,-769.8826326176447
77,-507,-766.5123424558801
78,-610,-764.5311735640336
79,-298,-758.6995338944831
80,-1129,-763.2711445871438
