episodes,scores,avg_scores
0,-1107.2047544573554,-1107.2047544573554
1,-159.3331737693247,-633.2689641133401
2,-1335.2958393433385,-867.2779225233395
3,-913.634760205058,-878.8671319437692
4,136.78257147304785,-675.7371912604058
5,272.3106348357401,-517.7292202443815
6,-761.7034548348427,-552.5826823287331
7,454.1318006986684,-426.7433719503079
8,-1114.247812535576,-503.13275423755994
9,415.86747437044215,-411.2327313767597
10,-1337.6448656911748,-495.45201631443376
11,411.03610503709655,-419.9113395351396
12,-2173.5877064034266,-554.8095216019309
13,17.804438258797738,-513.9085244690217
14,-183.41780499552095,-491.87580983745494
15,415.29148518424023,-435.17785389859904
16,-1555.6597245694072,-501.08855217335247
17,-56.023525881778276,-476.3627173793761
18,-962.2113071704231,-501.93369578943117
19,-512.5402753425284,-502.464024767086
20,-38.80799446071662,-480.38516618106837
21,-2255.7915376137034,-561.0854557916427
22,-183.14830664805848,-544.6534058288781
23,500,-501.1261805860084
24,-587.6028242897116,-504.5852463341565
25,-767.6459421991012,-514.7029654058853
26,-1020.0808418167285,-533.4206645322128
27,-2474.72426878106,-602.7529361125288
28,-1061.024999748084,-618.5554210654789
29,-960.9684453951902,-629.9691885431359
30,-2347.0222722924227,-685.3579976963387
31,-773.652188637949,-688.1171911632639
32,-1214.7294200506678,-704.0751374931853
33,-1126.333758932623,-716.4945087119922
34,-602.6172084620108,-713.2408715619928
35,-657.4827395589527,-711.6920345619084
36,-1183.5396521766006,-724.444672875819
37,378.9150106247169,-695.408891731068
38,-492.5482483527593,-690.2073367726498
39,-2218.1987814875765,-728.4071228905229
40,400.01647459452545,-700.884596122595
41,-792.0931905660289,-703.0562293236292
42,-593.7418285615081,-700.5140339570681
43,-2514.726065941188,-741.7461255930709
44,-2583.792570566218,-782.6804910369186
45,451.13594920812295,-755.8583945098525
46,-1887.8878144034475,-779.9441268480141
47,-943.2997290859876,-783.3473685613053
48,289.3401590730912,-761.455786364685
49,385.20261319888294,-738.5226183734136
50,401.82297561907467,-716.162900844149
51,-1236.4169147268703,-726.167785726509
52,392.1672686880291,-705.0671243224612
53,-777.4345365908608,-706.4072615866908
54,-895.9794519166435,-709.854028683599
55,-836.0433948467883,-712.1074102222274
56,-1718.1968499723469,-729.7581021476681
57,307.11136631787576,-711.8810423465379
58,-2082.346407377097,-735.1092688724796
59,240.61923591662372,-718.8471271259946
60,-915.1128554225379,-722.0645980816755
61,365.5673044583226,-704.5221480407079
62,-398.6128378931317,-699.6664447050321
63,500,-680.921656506516
64,-709.0243607577261,-681.3540058026884
65,-2725.179615048226,-712.321060488227
66,-948.3082985552142,-715.8432580713163
67,-2070.8542807377416,-735.7698907575873
68,388.1740613470297,-719.4808479734623
69,442.1570915850155,-702.886020265484
70,-2054.8390903164413,-721.927612801413
71,500,-704.956395956949
72,-719.3949199776677,-705.1541839572328
73,171.53437841529987,-693.3070412224688
74,-5.310863548046667,-684.1337588534765
75,-3490.946496443313,-721.0655054007112
76,-1311.3297099435122,-728.7312742908775
77,413.3880454966555,-714.088718908986
78,-1680.5473562324923,-726.3223725459924
79,-298.190968862155,-720.9707299999444
80,-5262.687565826461,-777.0413082200249
81,-623.9248750744591,-775.174034645079
82,-2446.887849793809,-795.3151649480757
83,-664.2215623268432,-793.7545268216325
84,-749.3723333745321,-793.2323833693135
85,360.91316629981606,-779.8120862801377
86,-1504.2709610254215,-788.1391997829571
87,-1405.6380166066383,-795.1562317923173
88,-1621.149923853636,-804.4370597930061
89,-619.1659291552069,-802.3784916748084
90,-808.0277819503151,-802.4405717877261
91,422.7718939012291,-789.1230449867592
92,-1653.4495187844527,-798.4168780383472
93,106.94923424949842,-788.7853236523065
94,-1551.5789056538986,-796.8147297786389
95,-994.5975451807363,-798.8749674390774
96,-1568.3246389459614,-806.8074382793546
97,285.62080676169074,-795.6602112891399
98,-631.0871109938728,-793.9978567407028
99,-2180.1836987017246,-807.859715160313
100,-965.03417755591,-806.4380093912986
101,182.24473051717408,-803.0222303484335
102,165.96689611072532,-788.0096029938927
103,360.3796376705739,-775.2694590151364
104,-1150.9219664835944,-788.1465043947029
105,-806.1973001687136,-798.9315837447476
106,-1850.3566718544132,-809.8181159149433
107,457.17243361155,-809.7877095858145
108,-1168.2604340426387,-810.327835800885
109,-123.54270112129925,-815.7219375558026
110,419.0285245118467,-798.1552036537723
111,-1358.1016232994177,-815.8465809371374
112,-1192.6968178358616,-806.0376720514619
113,-231.5203202901648,-808.5309196369515
114,123.25427837989326,-805.4641988031971
115,397.91484976810733,-805.6379651573585
116,-118.12014891201616,-791.2625694007845
117,-615.2005961077457,-796.8543401030444
118,-1009.5187539352071,-797.3274145706922
119,-1952.1902725708724,-811.7239145429756
120,-1597.6806206777082,-827.3126408051455
121,-652.0789311902352,-811.2755147409109
122,-2330.2485377115395,-832.7465170515457
123,-296.0838699260825,-840.7073557508063
124,-1456.5066792928742,-849.396394300838
125,-1482.696070735801,-856.5468955862049
126,-874.7408818455419,-855.093495986493
127,-2058.8410745906804,-850.9346640445891
128,152.64656312828234,-838.797948415826
129,-1495.600627766158,-844.1442702395354
